#,Category: Broad classification of the technology or solution,Technology: Specific technology or innovation within the category,"Functionality: The purpose or role of the technology, describing what it does or how it contributes to the system.",Description,"Industrial TRL: The maturity level of the technology, based on the TRL scale (1-9).","Industrial TRL Range: The maturity level of the technology, based on the TRL scale (1-9).",Comments on why it is assigned as such for the Industry TRL (incl. References),"Shell TRL: The maturity level of the technology, based on the TRL scale (1-9).",Comments on why it is assigned as such for the Shell TRL,Shell working on it?,"Describe the current state of the technology, its capabilities, limitations, and relevance to the organization.",Use cases ,Technology Maturation Plan in Place?,Natural Team member,Technology Strategy
,,,,,,,,,,,"• As AI adoption expands, these edge systems will serve as the execution layer for localized inference and analytics, supporting low-latency, bandwidth-efficient, and autonomous operations in oil & gas environments.",Federated Learning on Edge,,,
,,,,,,,,,,,"• Advancing this capability toward Edge AI enablement (TRL 6–8) will significantly enhance operational efficiency, resilience, and scalability across upstream, midstream, and downstream assets.",A potential Federated Learning on Edge use case involves collaboratively training AI models across multiple distributed edge nodes without sharing raw data.,,,
,,,,,,,,,,,,"Each edge device trains locally on site-specific data (e.g., equipment performance, environmental conditions) and shares only model updates with a central aggregator.",,,
,,,,,,,,,,,,"This approach preserves data privacy and bandwidth, while enabling a global model that adapts to diverse field conditions across wells, terminals, or marine assets.Federated Learning thus supports context-aware, continuously improving AI models for remote and sensitive Shell oil & gas operations like Qatar, Brunei, QGC etc.",,,
173,Edge Computing,Edge AI ,"Edge AI - Federated Learining, Distributed Training, Model Aggregation","Edge computing based Federated Learning allowing the distributed assets on which the models are train to aggregate and create a new model comprised of the learnings from different independent models of the equipment, without sharing the data pertaining to the equipments",6 - System/subsystem model or prototype demonstration in relevant environment – Prototype system is tested in a relevant (but not fully operational) setting. (Proof of Concept with a business customer),6 - Pilot ,"The technology is proven only in healthcare and telecom sector and is not introduced or explored in other industries, including oil and gas",2 - Technology concept and/or application formulated – Practical applications are proposed based on observed principles. (Hypothesis and technology proposal),"Within Shell, Federated Learning remains at a conceptual stage, the technology and architecture are understood, but no pilots or prototypes have yet been initiated. Its adoption would represent a disruptive shift from centralized cloud-based model training ecosystem to a distributed, privacy-preserving, and bandwidth-efficient paradigm. Key reasons for its low maturity within Shell include lack of existing frameworks, orchestration capabilities, and cross-domain AI data standardization.",Yes,,Federated Learning on Edge,,,Ride the wave
,,,,,,,,,,,,A potential Federated Learning on Edge use case involves collaboratively training AI models across multiple distributed edge nodes without sharing raw data.,,,
,,,,,,,,,,,,"Each edge device trains locally on site-specific data (e.g., equipment performance, environmental conditions) and shares only model updates with a central aggregator.",,,
,,,,,,,,,,,,"This approach preserves data privacy and bandwidth, while enabling a global model that adapts to diverse field conditions across wells, terminals, or marine assets.Federated Learning thus supports context-aware, continuously improving AI models for remote and sensitive Shell oil & gas operations like Qatar, Brunei, QGC etc.",,,
175,Edge Computing,Edge Applications,"Deployment, execution, and lifecycle management of containerized applications and microservices on distributed edge nodes.","Edge Applications enable localized processing and control by running containerized workloads directly on edge devices. They handle data filtering, analytics, and automation tasks close to industrial assets, ensuring low latency and reliable operation even in low-connectivity environments. Managed through edge platforms like Azure IoT Edge, Zededa, or EdgeX Foundry, they support scalable deployment, real-time updates, and orchestration of multiple edge services across sites.","8 - Actual system completed and qualified through test and demonstration – Technology is proven to work in its final form and under expected conditions. (Business go-live, IDT Portfolio Managed)",7-8 (average 7),"Containerized edge applications are commercially mature and operationally validated across industrial deployments. Platforms like Azure IoT Edge, Zededa Edge Orchestrator, Aveva, RTDIP and EdgeX Foundry enable scalable deployment and lifecycle management of applications across distributed edge nodes. The technology is proven in production environments for data filtering, analytics, and workflow automation",6 - System/subsystem model or prototype demonstration in relevant environment – Prototype system is tested in a relevant (but not fully operational) setting. (Proof of Concept with a business customer),"As part of several project activities Zededa Edge orchestration, along with IoTech Edge application management is tested with business customer, while large scale multi site application orchestration, application management and monitoring centrally and providing the integrated view of the deployed applications across multiple Shell asset sites",Yes,Current State of the Technology,"-Local historian for the assets with functionalities like calculation, visualization",,,Ride the wave
,,,,,,,,,,,-Edge computing as a technology is considered TRL 8 — mature and commercially deployed across multiple industries.,-Data quality and data compression apps on the edge,,,
,,,,,,,,,,,-Edge applications themselves can vary:,"- Industrial - Predictive Maintenance, Anomaly detection, energy optimization, flaring leak detection etc",,,
,,,,,,,,,,,   - Generic data acquisition or filtering apps: TRL 9 (fully mature),- Manufacturing - Quality inspection (machine vision),,,
,,,,,,,,,,,"   -AI-driven edge inference (e.g., predictive models, computer vision): TRL 7–8 (industrial pilots to large-scale     rollouts)",,,,
,,,,,,,,,,,"    - Autonomous control decision-making edge apps: TRL 6–7 (still evolving, domain-specific)",,,,
,,,,,,,,,,,Limitations,,,,
,,,,,,,,,,,"• Management - Difficult to deploy, monitor, and update hundreds of distributed edge nodes.",,,,
,,,,,,,,,,,• Security risks - Physical access and network exposure at remote locations,,,,
,,,,,,,,,,,"• Skill Gap - Requires cross-domain expertise (IT, OT, AI, cybersecurity)",,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,Relevance to the Organization,,,,
,,,,,,,,,,,• Enables real-time decision-making without cloud dependency.,,,,
,,,,,,,,,,,• Improves data privacy and security (data stays local),,,,
,,,,,,,,,,,• Reduces network and cloud costs,,,,
,,,,,,,,,,,•      Forms a key pillar in IT/OT convergence strategies,,,,
89,Edge Computing,Real-Time IT/OT Converged Platforms,IT-OT Convergence,"Unified platforms that bridge IT systems (analytics, cloud) with OT systems (sensors, PLCs) at the edge. Enables secure, scalable, and interoperable operations.",9 - Actual system proven through successful mission operations – Technology is fully deployed and operational in its intended environment. (Scaled & deployed),8,"IT/OT convergence is assigned TRL 9 because it is a proven, qualified, and widely deployed industrial capability that operates reliably under real-world conditions, supported by mature standards, cybersecurity frameworks, and enterprise adoption.",5 - Component and/or breadboard validation in relevant environment – More advanced testing in environments that simulate real-world conditions. (Proof of Concept with synthetic data),"Shell’s vision and ambition to IT/OT Convergence varies depending on its Assets: For Greenfield Asset implementations it can stretch to industrial autonomy, while for Brownfield Assets it might need to be limited to semi-automated processes due to costs to convert to fully autonomous and the phase of the Asset lifecycle. Shell has global standards implemented for the technologies like OPC UA, Modbus TCP which is also deployed on large scale deployments but there are gaps from the workprocess integration, full automation of data governance and OT interpoperability",Yes,Current State of the Technology,- Unified dashboards for upstream operations,,,Ride the wave
,,,,,,,"However, it has not yet reached full autonomy, cross-industry standardization, workflow integrations or AI-native integration",,,,"IT OT convergence is happening from decades and it is one of the important topic for interoperability and readiness towards autonomous operations, which translates to the close integration of machine centric environment which is OT with the data centric IT envronment to enable perforamnce optimization and reduce operational costs.",Secure remote control of drilling equipment,,,
,,,,,,,,,,,Capabilities,Real-time asset tracking and diagnostics,,,
,,,,,,,,,,,"• Multi-protocol data acquisition: Supports Modbus, OPC UA, MQTT, and other industrial protocols for seamless OT connectivity.",- Accessing OT data to generate insights for predictive maintenance optimisation,,,
,,,,,,,,,,,"• Edge compute: Edge nodes can host containerization workloads, enabling future deployment of AI inference services",- Delivering remote and autonomous operations,,,
,,,,,,,,,,,"• Secure communication: Ensures encrypted and authenticated data exchange between sensors, edge gateways and cloud environments.","- Enabling Asset diagnostics, remote equipment performance monitoring and self-healing capabilities",,,
,,,,,,,,,,,Limitations,,,,
,,,,,,,,,,,• Traditional way of implemention limits the embracement of evolving technology landscape,,,,
,,,,,,,,,,,• Business back demand limitation - QGC and Prelude have shown interest but priority is limiting the discussion and implementation plan,,,,
,,,,,,,,,,,Relevance to the Organization,,,,
,,,,,,,,,,,"• It provides secure, standardized, and real-time data flow from field assets to enterprise systems, enabling data-driven decision-making.",,,,
,,,,,,,,,,,"• Seamless IT/OT convergence enables real-time monitoring, faster decision-making, and remote operations",,,,
,,,,,,,,,,,"• Integrated IT/OT data allows more accurate performance tracking, energy efficiency monitoring, and anomaly detection",,,,
,,,,,,,,,,,"• Once IT/OT integration reaches TRL 8, organizations can focus on higher-value innovation — such as AI analytics, digital twin modeling, and workflow automation — instead of basic connectivity challenges",,,,
90,Edge Computing,Smart Sensing with Edge Processing,Real-Time Sensing,Sensors with embedded processors that analyze data locally. Enables faster response and reduces bandwidth usage.,9 - Actual system proven through successful mission operations – Technology is fully deployed and operational in its intended environment. (Scaled & deployed),9,"Examples are there from vendors like Aystoms where they have embeded AI in the vibration sersor and alers can get generated from the device itslef, but at the same time this could be very useful for brown fleild plants where we need to digitalize the assets so there is a scope for investment in this area for the research on what is available and how Shell can utlize it ",6 - System/subsystem model or prototype demonstration in relevant environment – Prototype system is tested in a relevant (but not fully operational) setting. (Proof of Concept with a business customer),"These kind of sensors are already deployed for sites like. QGC for vibration monitoring, but there is not a wide adaption yet in shell for these",Yes,Current State of the Technology,Smart pressure gauges with onboard analytics,,,Already Mature
,,,,,,,,,,,- There is lot of offering in the market depending on the use case, Leak detection in pipelines using edge-filtered DAS,,,
,,,,,,,,,,,"- Smart sesing applications themselves can vary, like vibration sensing and vale positioning sensor both are very different", Environmental sensors triggering local alerts,,,
,,,,,,,,,,,Limitations,,,,
,,,,,,,,,,,"• Management - easy to deploy, monitor and depends on the site brown/green field",,,,
,,,,,,,,,,,• Security risks - Physical access and network exposure at remote locations,,,,
,,,,,,,,,,,"• Skill Gap - Requires cross-domain expertise (IT, OT, AI, cybersecurity)",,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,Relevance to the Organization,,,,
,,,,,,,,,,,• Enables real-time decision-making without cloud dependency.,,,,
,,,,,,,,,,,• Improves data privacy and security (data stays local),,,,
,,,,,,,,,,,• Reduces network and cloud costs,,,,
,,,,,,,,,,,•      Forms a key pillar in IT/OT convergence strategies,,,,
91,Edge Computing,Edge Data  & Connectivity,"Data Ingestion, Edge Connectivity & Networking ","The Edge data & connectivity layer forms the backbone of industrial data movement across Shell assset, enabling reliable, low latency communication between sensor, edge gateways/computing units and cloud computing system, edge data ingestion capabilities consists of filtering, normalize, compression, conversion of the data streams from OT systems using protocols such as OPCUA, Modbus, MQTT etc. Edge compuing connectivity and networking technologies from LoRaWAN, ethernet radios, 5G/6G, Low orbit satellites ensure resilient, secure communication even in the remote and bandwidth constrained environment viz. QGC Upstream wellsites.",9 - Actual system proven through successful mission operations – Technology is fully deployed and operational in its intended environment. (Scaled & deployed),9 average,"The edge data & connectivity layer is at 8-9 TRL level because the underlying technologies such as the industrial data ingestion framework like OPCUA, MQTT, and robust edge connectivity solutions like LoRaWAN, 5G, low orbit satellites are commercially mature and widely deployed technologies in oil and gas operations. These solution have been proven at scale in production environments.","8 - Actual system completed and qualified through test and demonstration – Technology is proven to work in its final form and under expected conditions. (Business go-live, IDT Portfolio Managed)","Within Shell, Edge data and connectivity has reached the industrial TRL level as the technology is already being operationalize and deployed across multiple oil and gas faciltiies. The core data ingestion components like OPCUA, Modbus, MQTT and network communication solution like LoRaWAN, low orbit satellites are used in production for monitoring our Shell assets. Also at different assets the integration with the historian system, cloud computing environment and edge computing system are demonstrated. Global level implementation, along with the incremental optimization and scaling efforts are still work in progress ",Yes,Current State of the Technology,Asset Data Integration and Future Focus,,,Ride the wave
,,,,,,8–9,,,,,"Within the organization, the Edge Data & Connectivity layer is well-established and forms the backbone of industrial data movement across Shell assets. It enables reliable, low-latency communication between sensors, edge gateways, and cloud systems, ensuring continuous data availability from the field. The platform supports multi-protocol data ingestion from OT systems using OPC UA, Modbus, and MQTT, providing cloud based filtering, normalization, compression, and conversion of high-volume sensor streams. Connectivity technologies—such as LoRaWAN are tested in the asset production environment, while communication  technologies like 5G, and low-orbit satellite links are tested enable resilient and secure communication even in remote and bandwidth constrained environments like QGC upstream wellsites, DAC site etc.","Present Capabilities (SSIP, SDU etc.)",,,
,,,,,,,,,,,Capabilities,"• Established Data Integration: Asset data from diverse sensors, control systems (PLCs, DCS, SCADA), and PI historians is already being ingested into the Shell cloud environment through standardized, secure data pipelines.",,,
,,,,,,,,,,,"• Multi-protocol data integration: Mature ingestion and translation from industrial protocols (OPC UA, Modbus, MQTT) ensuring interoperability between OT and IT systems.","• Edge Connectivity Foundation: Reliable edge-to-cloud data transmission is in place via OPC UA, MQTT, and Modbus protocols, enabling multi-protocol integration and standardized data exchange.",,,
,,,,,,,,,,,"• Edge-level pre-processing: High-volume sensor data is filtered, normalized, and compressed locally, improving bandwidth efficiency and data quality.","• Centralized Visibility: High-frequency, high-fidelity data from different Shell assets is accessible for enterprise dashboards, analytics, and monitoring.",,,
,,,,,,,,,,,"• Resilient connectivity: Proven deployment of LoRaWAN, 5G, and low orbit satellite links providing robust data transport in geographically dispersed fields.",Future Opportunities,,,
,,,,,,,,,,,"• Secure communication: End-to-end encryption and authentication for data movement between sensors, edge gateways, and cloud environments.","• Data Governance & Security: Existing frameworks ensure authenticated and encrypted data flow across IT and OT boundaries, supporting compliance and operational reliability.",,,
,,,,,,,,,,,• Unified data modeling: Standardized data structures enable integration with enterprise historians and analytics platforms.,"• Unified Namespace (UNS): Implement a real-time, hierarchical data system to unify asset data across distributed sites, creating a single point of contextualized truth accessible to IT, OT, and AI systems.",,,
,,,,,,,,,,,Limitations,"• Semantic Integration: Extend the UNS with semantic data models to introduce contextual meaning, enabling machine readable interoperability and automation.",,,
,,,,,,,,,,,• Limited semantic integration: Contextual data modeling and unified namespace adoption are still in experimental phase,"• Edge-to-Enterprise Data Fabric: Develop an intelligent data mesh that connects edge nodes, enterprise systems, and cloud analytics through standardized, self-describing data layers.",,,
,,,,,,,,,,,"• Connectivity variance: Network reliability can fluctuate in remote upstream environments, impacting real-time data flow.","• Cross-Domain Analytics Enablement: Enable seamless linking of process, maintenance, and business data to support digital twins, federated analytical systems, and autonomous optimization use cases.",,,
,,,,,,,,,,,"• Data governance maturity: While secure, policies for data residency, ownership, and lifecycle management are still evolving.",QGC Remote Upstream Wellsite Data Connectivity,,,
,,,,,,,,,,,,"At QGC’s remote upstream wellsites, the Edge Data & Connectivity layer enables reliable, low-latency data exchange between HPUs, pumps, visual sensors, and control systems.",,,
,,,,,,,,,,,Relevance to the Organization,"Edge gateways ingest, filter, and normalize high-frequency telemetry from pressure, vibration, and flow sensors using MQTT protocols before transmitting it securely to the central monitoring platform.",,,
,,,,,,,,,,,"The Edge data & connectivity layer forms the backbone of industrial data movement across Shell assset. It enables standardized, secure, and continuous data flow across wells, terminals, and refineries, directly supporting analytics, optimization, and autonomous control initiatives. Its established presence across assets positions it at Industrial TRL 8–9, reflecting proven operational reliability and large-scale deployment. Ongoing enhancements in semantic integration is the key to advanced data contextualization, Unified namespace will provide a centralized, real time hierarchical data model across Shell assets, equipments etc. spreading across OT and IT layers, data governance, and adaptive networking will further strengthen its role as the digital backbone for future Edge AI, Digital Twin, and Federated Learning implementations across Shell’s value chain.","LoRaWAN, NBIOT, Ethernet Radios and Low orbit satellites to maintain consistent data flow even under intermittent connectivity, while local buffering ensures no data loss.",,,
,,,,,,,,,,,,"This setup provides a resilient communication backbone for production optimization, operational safety, and real-time visualization without dependence on continuous cloud connectivity.",,,
,,,,,,,,,,,,HSSE – Real-Time Safety Data Fabric,,,
,,,,,,,,,,,,The Edge Data & Connectivity layer forms the real-time data fabric for HSSE systems in remote or hazardous sites.,,,
,,,,,,,,,,,,"It integrates data streams from gas detectors, thermal cameras, PPE sensors, and fire detection units through standardized edge interfaces.",,,
,,,,,,,,,,,,"Using secure, low-latency protocols, the system aggregates and transmits safety telemetry to local and central dashboards, ensuring immediate event propagation and auditability.",,,
,,,,,,,,,,,,"Even during network disruptions, edge-level caching and redundancy ensure safety-critical data is preserved and transmitted once links are restored, improving responsiveness and compliance tracking.",,,
,,,,,,,,,,,,Direct Air Capture (DAC) Process Connectivity,,,
,,,,,,,,,,,,"In Direct Air Capture units, Edge Data & Connectivity supports continuous, high-resolution data collection from different sensors.",,,
,,,,,,,,,,,,Edge devices standardize and synchronize these data streams using industrial protocols for integration into local control systems and enterprise analytics.,,,
,,,,,,,,,,,,"By applying data filtering, compression, and buffering, the platform ensures bandwidth-efficient, lossless data transmission to cloud systems.",,,
,,,,,,,,,,,,"Resilient Ethernet links connect DAC units to supervisory control centers, enabling stable monitoring and optimization of CO₂ capture operations",,,
,,,,,,,,,,,,Marine and Offshore Operations Connectivity,,,
,,,,,,,,,,,,"For offshore vessels and marine assets, the Edge Data & Connectivity layer ensures secure and continuous telemetry exchange between navigation, radar, and engine health monitoring systems.",,,
,,,,,,,,,,,,Edge gateways onboard ships aggregate and compress data streams from multiple subsystems and synchronize them through satellite and 5G maritime networks.,,,
,,,,,,,,,,,,"This multi-network strategy provides redundant connectivity, enabling operators to maintain situational awareness and equipment diagnostics in bandwidth-limited environments.",,,
92,Edge Computing,Edge-Orchestrated Workflows,Real-Time IT/OT Platform,"Containerized orchestration of industrial services at the edge. Supports modular deployment of analytics, control logic, and visualization tools.",6 - System/subsystem model or prototype demonstration in relevant environment – Prototype system is tested in a relevant (but not fully operational) setting. (Proof of Concept with a business customer),6,,5 - Component and/or breadboard validation in relevant environment – More advanced testing in environments that simulate real-world conditions. (Proof of Concept with synthetic data),????,Yes,,Deploying AI models via Kubernetes on edge gateways,,,
,,,,,,,,,,,, Real-time scheduling of maintenance tasks,,,
,,,,,,,,,,,,Dynamic load balancing across edge nodes,,,
